name,facts,description,icon,type,weapon_type,professions,slot,flags,id,chat_link
Throw Gunk,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|900|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|6|0.3|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|120|Combo Field|ComboField|https://render.guildwars2.com/file/59E0DB6A699810641C959926ADFEF73E08CC255B/156655.png|Ethereal,Throw gunk at target area to inflict a random condition.,https://render.guildwars2.com/file/3A487770D4A0E006D0A0E57C68A639BF7003A5BC/102940.png,Profession,None,,Profession_2,"GroundTargeted,NoUnderwater",1110,[&BlYEAAA=]
Branch Leap,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|450|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|2.5|Combo Finisher|ComboFinisher|https://render.guildwars2.com/file/A513F3653D33FBA4220D2D307799F8A327A36A3B/156656.png|100|Leap,Use the branch to leap at your foe.,https://render.guildwars2.com/file/15E0A1080FE0AE70ABD305F4DD045139F1216C37/102945.png,Profession,None,,Profession_2,NoUnderwater,1115,[&BlsEAAA=]
Throw Chain,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|900|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.75|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/397A613651BFCA2832B6469CE34735580A2C120E/102844.png|2|Immobile|Unable to move; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/070325E519C178D502A8160523766070D30C0C19/102838.png|6|Crippled|Movement speed decreased by 50%; stacks duration.|1|Combo Finisher|ComboFinisher|https://render.guildwars2.com/file/A513F3653D33FBA4220D2D307799F8A327A36A3B/156656.png|100|Projectile,Throw a chain to cripple and immobilize your foe.,https://render.guildwars2.com/file/07364259014FCB3F01C7F31808C140720DACC70A/102946.png,Profession,None,,Profession_2,,1118,[&Bl4EAAA=]
Consume Plasma,"Apply Buff/Condition|Buff|https://render.guildwars2.com/file/DFB4D1B50AE4D6A275B349E15B179261EE3EB0AF/102854.png|10|Aegis|Block the next incoming attack; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/DFB4D1B50AE4D6A275B349E15B179261EE3EB0AF/102854.png|2|Aegis|Block the next incoming attack; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/4FDAC2113B500104121753EF7E026E45C141E94D/1938787.png|3|Alacrity|Skills recharge faster.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/4FDAC2113B500104121753EF7E026E45C141E94D/1938787.png|2|Alacrity|Skills recharge faster.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/96D90DF84CAFE008233DD1C2606A12C1A0E68048/102842.png|10|Fury|Critical chance increased; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/2FA9DF9D6BC17839BBEA14723F1C53D645DDB5E1/102852.png|10|Might|Increased outgoing damage; stacks intensity.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/CD77D1FAB7B270223538A8F8ECDA1CFB044D65F4/102834.png|10|Protection|Incoming strike damage decreased by 33%; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/CD77D1FAB7B270223538A8F8ECDA1CFB044D65F4/102834.png|2|Protection|Incoming strike damage decreased by 33%; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/D4AB6401A6D6917C3D4F230764452BCCE1035B0D/1012835.png|3|Quickness|Skills and actions are faster.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/D4AB6401A6D6917C3D4F230764452BCCE1035B0D/1012835.png|2|Quickness|Skills and actions are faster.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/F69996772B9E18FD18AD0AABAB25D7E3FC42F261/102835.png|10|Regeneration|Gain health every second; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/F69996772B9E18FD18AD0AABAB25D7E3FC42F261/102835.png|5|Regeneration|Gain health every second; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/50BAC1B8E10CFAB9E749A5D910D4A9DCF29EBB7C/961398.png|3|Resistance|Nondamaging conditions currently on you are ineffective; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/50BAC1B8E10CFAB9E749A5D910D4A9DCF29EBB7C/961398.png|1|Resistance|Nondamaging conditions currently on you are ineffective; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/D104A6B9344A2E2096424A3C300E46BC2926E4D7/2440718.png|5|Resolution|Incoming condition damage decreased by 33%; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/3D3A1C2D6D791C05179AB871902D28782C65C244/415959.png|5|Stability|Cannot be knocked down, pushed back, pulled, launched, stunned, dazed, floated, sunk, feared, or taunted.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/3D3A1C2D6D791C05179AB871902D28782C65C244/415959.png|1|Stability|Cannot be knocked down, pushed back, pulled, launched, stunned, dazed, floated, sunk, feared, or taunted.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/20CFC14967E67F7A3FD4A4B8722B4CF5B8565E11/102836.png|10|Swiftness|Movement speed increased by 33%; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/58E92EBAF0DB4DA7C4AC04D9B22BCA5ECF0100DE/102843.png|10|Vigor|Endurance regeneration increased by 50%; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/58E92EBAF0DB4DA7C4AC04D9B22BCA5ECF0100DE/102843.png|5|Vigor|Endurance regeneration increased by 50%; stacks duration.|1",Gain all boons.,https://render.guildwars2.com/file/BED8F4C37CA1D040CEA5381E082E155DB5D295F7/102949.png,Profession,None,,Profession_2,,1123,[&BmMEAAA=]
Eat Egg,Healing|AttributeAdjust|https://render.guildwars2.com/file/D4347C52157B040943051D7E09DEAD7AF63D4378/156662.png|2132|Healing|Initiative Gain|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|8,Restore health and initiative.,https://render.guildwars2.com/file/23A3644A7C25F9ACCD64C00AE90858C2C2F2A61C/102934.png,Profession,None,,Profession_2,,1125,[&BmUEAAA=]
Ice Shard Stab,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|170|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|2|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/28C4EC547A3516AF0242E826772DA43A5EAC3DF3/102839.png|6|Chilled|Movement speed decreased by 66%; skill cooldown increased by 66%; stacks duration.|1,Stab and chill your foe.,https://render.guildwars2.com/file/53CFF0A54AD6FC3C6959722DCF2B9AB2C1ADF754/102953.png,Profession,None,,Profession_2,,1129,[&BmkEAAA=]
Mace Head Crack,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|170|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/9AE125E930C92FEA0DD99E7EBAEDE4CF5EC556B6/433474.png|3|Daze|Unable to activate skills.|1,Daze your foe.,https://render.guildwars2.com/file/EA28344BCD136298D5011EF553763C097C0A09E0/102955.png,Profession,None,,Profession_2,NoUnderwater,1131,[&BmsEAAA=]
Healing Seed,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|15|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|240|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/F69996772B9E18FD18AD0AABAB25D7E3FC42F261/102835.png|3|Regeneration|Gain health every second; stacks duration.|1|Conditions Removed|Number|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|1|Interval|Time|https://render.guildwars2.com/file/B75E91EB22E0DFCC1D08030204055946506D56F6/1770206.png|1|Duration|Time|https://render.guildwars2.com/file/7B2193ACCF77E56C13E608191B082D68AA0FAA71/156659.png|5|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5|Combo Field|ComboField|https://render.guildwars2.com/file/59E0DB6A699810641C959926ADFEF73E08CC255B/156655.png|Water,Periodically grants regeneration and removes conditions from you and your allies.,https://render.guildwars2.com/file/C9052DC9C2AF805EC14C903D5EA0536E0A1A243F/102961.png,Profession,None,,Profession_2,NoUnderwater,1139,[&BnMEAAA=]
Skull Fear,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|600|Unblockable|Unblockable|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|true|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/30307A6E766D74B6EB09EDA12A4A2DE50E4D76F4/102869.png|2|Fear|Involuntary retreat; unable to act; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/30307A6E766D74B6EB09EDA12A4A2DE50E4D76F4/102869.png|2|Fear|Involuntary retreat; unable to act; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/30307A6E766D74B6EB09EDA12A4A2DE50E4D76F4/102869.png|1|Fear|Involuntary retreat; unable to act; stacks duration.|1|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5,Strike fear into nearby foes.,https://render.guildwars2.com/file/44B30CD10A3AA30A80A7A64CE2EF0B942CFF9BFF/102963.png,Profession,None,,Profession_2,,1141,[&BnUEAAA=]
Blinding Tuft,Range|Range|https://render.guildwars2.com/file/0AAB34BEB1C9F4A25EC612DDBEACF3E20B2810FA/156666.png|120|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/09770136BB76FD0DBE1CC4267DEED54774CB20F6/102837.png|3|Blinded|Next outgoing attack misses; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/3BD4670638470439F3325B444FAF7D5FA620CCE5/62777.png|3|Stealth|Currently invisible. Ends if you deal damage.|1|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5,"Throw a handful of hair, vanishing in stealth and blinding nearby foes.",https://render.guildwars2.com/file/08956AFCA1FECE4E5F28A17CA068A2A134A697E5/102970.png,Profession,None,,Profession_2,,1148,[&BnwEAAA=]
