id,tier,order,name,description,slot,facts,specialization,icon
214,2,1,Raging Storm,Critically striking a foe grants fury. Gain ferocity while under the effects of fury.,Major,Recharge|Recharge|https://render.guildwars2.com/file/D767B963D120F077C3B163A05DC05A7317D7DB70/156651.png|8|AttributeAdjust|https://render.guildwars2.com/file/0658D833944E69E62E08EB18A0B5407F722125BC/2229320.png|180|CritDamage|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/96D90DF84CAFE008233DD1C2606A12C1A0E68048/102842.png|4|Fury|Critical chance increased; stacks duration.|1|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|360|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|5,41,https://render.guildwars2.com/file/74A414B378B54431EF183A37DA37CCFFFC0E04BD/2175040.png
221,1,0,Zephyr's Speed,"Your chance to critically strike is increased. While attuned to air, your movement speed is also increased.",Minor,Movement Speed Increase|Percent|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png|25|Critical Chance Increase|Percent|https://render.guildwars2.com/file/C2CEA567E0C43C199C782809544721AA12A6DF0A/2229323.png|5,41,https://render.guildwars2.com/file/9B55449FC8EF093FE4925DDE9BF41B5A6298BAAA/1012279.png
222,2,0,Electric Discharge,Strike your target with a bolt of lightning when attuning to air.<br><c=@reminder>Also triggers on overload skills.</c>,Minor,Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.35|Damage|Damage|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|1|0.05|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/3A394C1A0A3257EB27A44842DDEEF0DF000E1241/102850.png|8|Vulnerability|Damage and condition damage taken are increased; stacks intensity.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/3A394C1A0A3257EB27A44842DDEEF0DF000E1241/102850.png|6|Vulnerability|Damage and condition damage taken are increased; stacks intensity.|8|Critical Damage Increase|Percent|https://render.guildwars2.com/file/0658D833944E69E62E08EB18A0B5407F722125BC/2229320.png|100|Radius|Distance|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|900|Number of Targets|Number|https://render.guildwars2.com/file/BBE8191A494B0352259C10EADFDACCE177E6DA5B/1770208.png|1|Combat Only|NoData|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png,41,https://render.guildwars2.com/file/F4622EE8300028599369D4084EA7A2774D250DEA/1012280.png
223,3,0,Aeromancer's Training,"Gain ferocity, and gain additional ferocity while attuned to air. Air weapon skills get a reduced recharge time.",Minor,Recharge Reduced|Percent|https://render.guildwars2.com/file/AAB7C5387A08367C2F023F19FEE70E1556AD4375/1770202.png|20|AttributeAdjust|https://render.guildwars2.com/file/0658D833944E69E62E08EB18A0B5407F722125BC/2229320.png|150|CritDamage|Additional Ferocity|AttributeAdjust|https://render.guildwars2.com/file/0658D833944E69E62E08EB18A0B5407F722125BC/2229320.png|150|CritDamage,41,https://render.guildwars2.com/file/B07EBE9F0136026A2C710C1405C528DB4AC37936/2175041.png
224,1,1,One with Air,Gain superspeed when attuning to air.,Major,Apply Buff/Condition|Buff|https://render.guildwars2.com/file/E04392C3D8ED985125973AEB99D8460C483263F9/103458.png|3|Superspeed|Movement speed is greatly increased. Maximum duration: 10s|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/E04392C3D8ED985125973AEB99D8460C483263F9/103458.png|2|Superspeed|Movement speed is greatly increased. Maximum duration: 10s|1,41,https://render.guildwars2.com/file/200BAEAD2FCD181E102556B02AF5F326EC583DD0/1012271.png
226,3,0,Bolt to the Heart,Deal increased strike damage to enemies below the health threshold.,Major,Health Threshold|Percent|https://render.guildwars2.com/file/B0CD8077991E4FB1622D2930337ED7F9B54211D5/156665.png|50|Damage Increase|Percent|https://render.guildwars2.com/file/61AA4919C4A7990903241B680A69530121E994C7/156657.png|20,41,https://render.guildwars2.com/file/3E4E727D6D23DFEF4205F272A15E2136799DE291/1012276.png
227,1,0,Zephyr's Boon,Grant boons to allies you grant auras to.,Major,Apply Buff/Condition|Buff|https://render.guildwars2.com/file/96D90DF84CAFE008233DD1C2606A12C1A0E68048/102842.png|5|Fury|Critical chance increased; stacks duration.|1|Apply Buff/Condition|Buff|https://render.guildwars2.com/file/20CFC14967E67F7A3FD4A4B8722B4CF5B8565E11/102836.png|5|Swiftness|Movement speed increased by 33%; stacks duration.|1,41,https://render.guildwars2.com/file/0542900C005EB41CEDFAF003D91A9104D479A848/1012270.png
229,2,0,Inscription,Gain boons upon casting a <c=@abilitytype>glyph</c> based on your attunement.,Major,Apply Buff/Condition|Buff|https://render.guildwars2.com/file/50BAC1B8E10CFAB9E749A5D910D4A9DCF29EBB7C/961398.png|3|Resistance|Nondamaging conditions currently on you are ineffective; stacks duration.|1|Apply Buff/Condition|PrefixedBuff|https://render.guildwars2.com/file/2FA9DF9D6BC17839BBEA14723F1C53D645DDB5E1/102852.png|10|Might|Increased outgoing damage; stacks intensity.|1|Apply Buff/Condition|https://render.guildwars2.com/file/1C91E9C799469ACC6EAF1ACD4B0AD8ACAB0C69A2/103035.png|Fire Attunement|Cast fire spells.|Apply Buff/Condition|PrefixedBuff|https://render.guildwars2.com/file/2FA9DF9D6BC17839BBEA14723F1C53D645DDB5E1/102852.png|6|Might|Increased outgoing damage; stacks intensity.|3|Apply Buff/Condition|https://render.guildwars2.com/file/1C91E9C799469ACC6EAF1ACD4B0AD8ACAB0C69A2/103035.png|Fire Attunement|Cast fire spells.|Apply Buff/Condition|PrefixedBuff|https://render.guildwars2.com/file/F69996772B9E18FD18AD0AABAB25D7E3FC42F261/102835.png|10|Regeneration|Gain health every second; stacks duration.|1|Apply Buff/Condition|https://render.guildwars2.com/file/737E1B9F7855B9F5D3DE1C990CD42118EF3D1C92/102820.png|Water Attunement|Cast water spells.|Apply Buff/Condition|PrefixedBuff|https://render.guildwars2.com/file/F69996772B9E18FD18AD0AABAB25D7E3FC42F261/102835.png|5|Regeneration|Gain health every second; stacks duration.|1|Apply Buff/Condition|https://render.guildwars2.com/file/737E1B9F7855B9F5D3DE1C990CD42118EF3D1C92/102820.png|Water Attunement|Cast water spells.|Apply Buff/Condition|PrefixedBuff|https://render.guildwars2.com/file/20CFC14967E67F7A3FD4A4B8722B4CF5B8565E11/102836.png|10|Swiftness|Movement speed increased by 33%; stacks duration.|1|Apply Buff/Condition|https://render.guildwars2.com/file/4857F59020DE3B0950B9C91F3D234A1C1932984A/103048.png|Air Attunement|Cast air spells.|Apply Buff/Condition|PrefixedBuff|https://render.guildwars2.com/file/CD77D1FAB7B270223538A8F8ECDA1CFB044D65F4/102834.png|3|Protection|Incoming strike damage decreased by 33%; stacks duration.|1|Apply Buff/Condition|https://render.guildwars2.com/file/4B8056D9BD080DC8E74AE6A57B2B383A2D4265C9/102870.png|Earth Attunement|Cast earth spells.,41,https://render.guildwars2.com/file/0157D1D40CF9B505B907DB95149F767A6FDB09DD/1012273.png
232,1,2,Ferocious Winds,Gain ferocity based on your precision.,Major,Attribute Conversion|BuffConversion|https://render.guildwars2.com/file/0658D833944E69E62E08EB18A0B5407F722125BC/2229320.png|7|Precision|CritDamage,41,https://render.guildwars2.com/file/A0EB166CD43079B2F7206ED305FD6C3D049BB704/1012272.png
238,3,0,Evasive Arcana,Cast a skill when you dodge based on your attunement.,Major,Combat Only|NoData|https://render.guildwars2.com/file/9352ED3244417304995F26CB01AE76BB7E547052/156661.png,37,https://render.guildwars2.com/file/0B46175A2DCC7C396EEAA34B50DB6204390F0FE8/1012288.png
